repo,age,language,releases,pull_requests,closed_issues,total_issues,closed_issues_ratio,last_update_days,pushed_at,created_at,stars,forks,watchers,collaborators
gin-gonic/gin,10,Go,26,1046,1652,2300,0.7182608695652174,0,2025-03-13T23:34:07Z,2014-06-16T23:57:25Z,80758,8129,1364,0
laravel/laravel,13,Blade,185,1615,0,0,0,0,2025-03-13T23:43:35Z,2011-06-08T03:06:08Z,80269,24237,4408,0
macrozheng/mall,6,Java,3,1,482,497,0.9698189134808853,0,2025-03-13T16:06:59Z,2018-04-04T01:11:44Z,79441,29080,2218,0
supabase/supabase,5,TypeScript,20,11339,3951,4210,0.938479809976247,0,2025-03-13T23:52:58Z,2019-10-12T05:56:49Z,79141,7947,543,0
gohugoio/hugo,11,Go,316,2807,7154,7609,0.9402023919043239,0,2025-03-13T22:32:39Z,2013-07-04T15:26:26Z,78687,7697,1069,0
tonsky/FiraCode,10,Clojure,29,136,949,1349,0.7034840622683469,0,2025-03-13T23:04:32Z,2014-11-11T19:32:38Z,78392,3125,718,0
openai/whisper,2,Python,12,110,0,0,0,0,2025-03-13T23:13:38Z,2022-09-16T20:02:54Z,78043,9349,629,0
tensorflow/models,9,Python,48,2340,6233,7296,0.8543037280701754,0,2025-03-13T22:40:08Z,2016-02-05T01:15:20Z,77442,45664,2693,0
doocs/advanced-java,6,Java,1,86,142,147,0.9659863945578231,0,2025-03-13T15:16:26Z,2018-10-06T11:38:30Z,77222,19161,2586,0
home-assistant/core,11,Python,1000,70489,55258,58068,0.9516084590480127,0,2025-03-13T23:47:19Z,2013-09-17T07:29:48Z,77085,32863,1338,0
mermaid-js/mermaid,10,TypeScript,143,2277,2012,3159,0.6369104146881924,0,2025-03-13T22:46:35Z,2014-11-01T23:52:32Z,76775,7138,641,0
oven-sh/bun,3,Zig,181,4906,6937,11036,0.6285791953606379,0,2025-03-13T23:42:11Z,2021-04-14T00:48:17Z,76773,2972,583,0
ggml-org/llama.cpp,2,C++,1000,4219,4342,4701,0.923633269517124,0,2025-03-13T23:46:10Z,2023-03-10T18:58:00Z,76477,11066,581,0
2dust/v2rayN,5,C#,239,202,5426,5440,0.9974264705882353,0,2025-03-13T22:41:32Z,2019-07-30T03:47:24Z,76456,12330,759,0
spring-projects/spring-boot,12,Java,300,42,36823,37381,0.9850726304807255,0,2025-03-13T22:54:14Z,2012-10-19T15:02:57Z,76427,40983,3352,0
3b1b/manim,9,Python,13,625,754,1192,0.6325503355704698,0,2025-03-13T23:13:57Z,2015-03-22T18:50:58Z,76020,6604,923,0
MisterBooo/LeetCodeAnimation,6,Java,0,63,42,61,0.6885245901639344,0,2025-03-13T20:28:55Z,2018-12-06T08:01:22Z,75759,13979,2544,0
microsoft/generative-ai-for-beginners,1,Jupyter Notebook,0,324,139,142,0.9788732394366197,0,2025-03-13T23:51:25Z,2023-06-19T16:28:59Z,75035,38663,696,0
FortAwesome/Font-Awesome,13,JavaScript,59,209,15492,19607,0.790125975416943,0,2025-03-13T13:47:20Z,2012-02-17T14:19:43Z,74743,12199,1350,0
typicode/json-server,11,JavaScript,38,121,546,1161,0.4702842377260982,0,2025-03-13T19:54:40Z,2013-11-27T13:21:13Z,73808,7104,1008,0
netdata/netdata,11,C,108,10122,7882,8033,0.9812025395244616,0,2025-03-13T21:52:28Z,2013-06-17T18:39:10Z,73766,6028,1361,0
DopplerHQ/awesome-interview-questions,9,Unknown,0,176,34,61,0.5573770491803278,0,2025-03-13T23:42:06Z,2015-11-28T09:48:17Z,73678,9020,1706,0
nomic-ai/gpt4all,1,C++,38,937,1479,2140,0.6911214953271028,0,2025-03-13T23:35:55Z,2023-03-27T18:49:32Z,72786,7944,652,0
vuejs/awesome-vue,9,Unknown,0,3546,189,223,0.8475336322869955,0,2025-03-13T19:45:33Z,2015-10-20T00:16:14Z,72650,9473,2129,0
MunGell/awesome-for-beginners,9,Unknown,0,433,166,171,0.9707602339181286,0,2025-03-13T23:42:06Z,2015-10-24T19:53:36Z,72345,7179,1295,0
elastic/elasticsearch,15,Java,174,74774,34565,38657,0.8941459502806736,0,2025-03-13T23:52:40Z,2010-02-08T13:20:56Z,71968,25124,2683,0
anuraghazra/github-readme-stats,4,JavaScript,0,1237,1095,1276,0.8581504702194357,0,2025-03-13T21:37:24Z,2020-07-09T10:34:22Z,71949,24049,281,0
fighting41love/funNLP,6,Python,0,14,47,77,0.6103896103896104,0,2025-03-13T19:02:41Z,2018-08-21T11:20:39Z,71608,14736,1575,0
microsoft/ML-For-Beginners,4,HTML,0,371,136,139,0.9784172661870504,0,2025-03-13T22:40:09Z,2021-03-03T01:34:05Z,71422,15256,1018,0
vitejs/vite,4,TypeScript,530,5148,7337,7790,0.9418485237483953,0,2025-03-13T23:26:41Z,2020-04-21T05:03:57Z,71292,6510,437,0
comfyanonymous/ComfyUI,2,Python,48,684,2802,4829,0.5802443570097329,0,2025-03-13T23:34:49Z,2023-01-17T03:15:56Z,70816,7654,491,0
microsoft/playwright,5,TypeScript,142,14183,14724,15481,0.9511013500419869,0,2025-03-13T23:41:13Z,2019-11-15T18:32:42Z,70250,3943,492,0
coder/code-server,6,TypeScript,176,1525,3485,3622,0.9621755935946991,0,2025-03-13T21:40:00Z,2019-02-27T16:50:41Z,70225,5808,733,0
bregman-arie/devops-exercises,5,Python,0,282,62,94,0.6595744680851063,0,2025-03-13T23:51:48Z,2019-10-03T17:31:21Z,70199,15661,1202,0
CompVis/stable-diffusion,2,Jupyter Notebook,0,5,194,721,0.26907073509015256,0,2025-03-13T20:21:39Z,2022-08-10T14:36:44Z,69933,10358,574,0
hoppscotch/hoppscotch,5,TypeScript,67,1699,1370,1836,0.7461873638344226,0,2025-03-13T23:40:08Z,2019-08-21T13:15:24Z,69889,4766,491,0
nestjs/nest,8,TypeScript,113,6869,5524,5553,0.9947775976949397,0,2025-03-13T23:01:16Z,2017-02-04T20:12:52Z,69827,7780,736,0
thedaviddias/Front-End-Checklist,7,Unknown,1,179,148,148,1.0,0,2025-03-13T20:12:16Z,2017-10-16T10:12:36Z,69674,6469,1441,0
Anduin2017/HowToCook,5,Dockerfile,3,519,300,678,0.4424778761061947,0,2025-03-13T23:50:22Z,2020-02-29T10:43:49Z,69509,8850,403,0
moby/moby,12,Go,213,20798,19750,22877,0.8633124972679984,0,2025-03-13T23:42:06Z,2013-01-18T18:10:57Z,69396,18708,2872,0
ByteByteGoHq/system-design-101,1,Unknown,0,21,15,50,0.3,0,2025-03-13T21:55:07Z,2023-09-18T20:52:03Z,69255,7376,893,0
pallets/flask,14,Python,35,1590,2667,2672,0.9981287425149701,0,2025-03-13T22:25:18Z,2010-04-06T11:11:59Z,69056,16320,2116,0
abi/screenshot-to-code,1,Python,0,45,275,371,0.7412398921832885,0,2025-03-13T18:25:45Z,2023-11-14T17:53:32Z,69027,8493,413,0
junegunn/fzf,11,Go,61,566,2671,2910,0.9178694158075601,0,2025-03-13T23:35:55Z,2013-10-23T16:04:23Z,68601,2473,393,0
base/node,2,Shell,44,142,158,208,0.7596153846153846,0,2025-03-13T21:28:32Z,2023-02-01T13:55:02Z,68554,2664,321,0
hakimel/reveal.js,13,JavaScript,47,405,1677,2437,0.6881411571604432,0,2025-03-13T18:39:03Z,2011-06-07T18:54:22Z,68490,16680,1658,0
redis/redis,15,C,78,3963,4552,6638,0.6857487194938234,0,2025-03-13T20:46:37Z,2009-03-21T22:32:25Z,68323,23930,2531,0
Developer-Y/cs-video-courses,8,Unknown,0,180,143,145,0.9862068965517241,0,2025-03-13T22:43:57Z,2016-10-21T17:02:11Z,68315,9242,1867,0
syncthing/syncthing,11,Go,398,2615,5219,5596,0.9326304503216584,0,2025-03-13T20:24:14Z,2013-11-26T09:48:21Z,68247,4424,1013,0
swiftlang/swift,9,C++,57,52651,9096,16151,0.5631849421088477,0,2025-03-13T22:45:20Z,2015-10-23T21:15:07Z,68219,10431,2452,0
binary-husky/gpt_academic,1,Python,32,223,1470,1718,0.8556461001164144,0,2025-03-13T22:22:00Z,2023-03-20T09:05:13Z,67893,8319,280,0
josephmisiti/awesome-machine-learning,10,Python,0,849,91,91,1.0,0,2025-03-13T22:43:56Z,2014-07-15T19:11:19Z,67209,14808,3334,0
enaqx/awesome-react,10,Unknown,0,779,107,109,0.981651376146789,0,2025-03-13T23:42:06Z,2014-08-06T05:31:44Z,67181,7305,1525,0
n8n-io/n8n,5,TypeScript,303,8891,2342,2821,0.8302020560085076,0,2025-03-13T23:52:39Z,2019-06-22T09:24:21Z,67035,16740,472,0
d2l-ai/d2l-zh,7,Python,16,1019,0,0,0,0,2025-03-13T23:45:47Z,2017-08-23T04:40:24Z,66990,11390,1082,0
grafana/grafana,11,TypeScript,495,51714,35295,39188,0.9006583648055527,0,2025-03-13T23:08:21Z,2013-12-11T15:59:56Z,66972,12461,1277,0
protocolbuffers/protobuf,10,C++,183,6915,6250,6468,0.966295609152752,0,2025-03-13T20:27:20Z,2014-08-26T15:52:15Z,66842,15634,2041,0
expressjs/express,15,JavaScript,159,416,3838,3940,0.9741116751269036,0,2025-03-13T22:35:26Z,2009-06-26T18:56:01Z,66498,17823,1694,0
sdmg15/Best-websites-a-programmer-should-visit,8,Unknown,0,429,101,170,0.5941176470588235,0,2025-03-13T23:38:00Z,2017-03-05T20:25:17Z,66287,8079,1387,0
louislam/uptime-kuma,3,JavaScript,109,1224,3199,3930,0.8139949109414758,0,2025-03-13T23:53:41Z,2021-07-03T01:02:42Z,65809,5807,290,0
python/cpython,8,Python,0,48894,64166,71362,0.8991620190017096,0,2025-03-13T23:52:08Z,2017-02-10T19:23:51Z,65748,31311,1526,0
strapi/strapi,9,TypeScript,449,8810,9632,10570,0.9112582781456954,0,2025-03-13T23:39:24Z,2015-09-30T15:34:48Z,65530,8407,659,0
chartjs/Chart.js,11,JavaScript,114,2985,6788,7234,0.9383466961570363,0,2025-03-13T19:31:57Z,2013-03-17T23:56:36Z,65483,11938,1356,0
ventoy/Ventoy,5,C,103,280,1581,2406,0.6571072319201995,0,2025-03-13T21:58:11Z,2020-03-10T15:19:19Z,65430,4203,670,0
tesseract-ocr/tesseract,10,C++,33,1402,2279,2691,0.8468970642883686,0,2025-03-13T21:07:45Z,2014-08-12T18:04:59Z,65292,9732,1695,0
webpack/webpack,13,JavaScript,421,4870,9879,10008,0.9871103117505995,0,2025-03-13T20:06:50Z,2012-03-10T10:08:14Z,65109,9007,1454,0
apache/superset,9,TypeScript,220,14007,10408,11173,0.9315313702676095,0,2025-03-13T22:55:20Z,2015-07-21T18:55:34Z,64939,14652,1524,0
leonardomso/33-js-concepts,6,JavaScript,0,250,81,102,0.7941176470588235,0,2025-03-13T19:25:44Z,2018-09-04T13:27:04Z,64827,9073,1204,0
ansible/ansible,13,Python,133,38752,32227,32780,0.9831299572910311,0,2025-03-13T22:55:59Z,2012-03-06T14:58:02Z,64301,23991,1903,0
kdn251/interviews,8,Java,0,42,23,53,0.4339622641509434,0,2025-03-13T21:57:48Z,2017-02-14T18:19:25Z,64012,12917,2600,0
swisskyrepo/PayloadsAllTheThings,8,Python,4,540,0,0,0,0,2025-03-13T22:39:06Z,2016-10-18T07:29:07Z,63859,15117,1855,0
xtekky/gpt4free,1,Python,260,742,1628,1644,0.9902676399026764,0,2025-03-13T23:24:40Z,2023-03-29T17:00:43Z,63801,13564,482,0
ocornut/imgui,10,C++,108,387,5318,6256,0.8500639386189258,0,2025-03-13T21:33:42Z,2014-07-21T14:29:47Z,63795,10659,1037,0
lydiahallie/javascript-questions,5,Unknown,0,328,233,245,0.9510204081632653,0,2025-03-13T15:37:05Z,2019-06-12T08:26:27Z,63559,9036,1276,0
twitter/the-algorithm,1,Scala,0,2,723,989,0.731041456016178,0,2025-03-13T13:58:17Z,2023-03-27T14:57:57Z,62991,12162,342,0
sherlock-project/sherlock,6,Python,1,639,946,1031,0.9175557710960233,0,2025-03-13T23:11:13Z,2018-12-24T14:30:48Z,62984,7264,1144,0
obsproject/obs-studio,11,C,215,5006,3764,4348,0.8656853725850966,0,2025-03-13T23:25:24Z,2013-10-01T02:40:31Z,62773,8250,1461,0
keras-team/keras,9,Python,74,3970,12152,12379,0.9816624929315777,0,2025-03-13T22:56:10Z,2015-03-28T00:35:42Z,62689,19540,1905,0
Eugeny/tabby,8,TypeScript,197,1478,3318,5464,0.6072474377745242,0,2025-03-13T22:37:34Z,2016-12-23T09:06:10Z,62418,3537,446,0
FuelLabs/sway,4,Rust,166,3319,2367,3207,0.7380729653882133,0,2025-03-13T15:26:02Z,2021-01-19T20:54:33Z,62411,5380,313,0
awesomedata/awesome-public-datasets,10,Unknown,1,187,48,118,0.4067796610169492,0,2025-03-13T23:11:52Z,2014-11-20T06:20:50Z,62352,10043,2272,0
fffaraz/awesome-cpp,10,Unknown,0,776,233,576,0.4045138888888889,0,2025-03-13T23:42:06Z,2014-07-17T08:51:11Z,62342,7924,2046,0
resume/resume.github.com,14,JavaScript,0,84,64,119,0.5378151260504201,0,2025-03-13T20:54:15Z,2011-02-06T13:39:55Z,62307,1357,346,0
openai/openai-cookbook,3,MDX,0,680,490,524,0.9351145038167938,0,2025-03-13T22:15:00Z,2022-03-11T02:08:53Z,62280,10061,910,0
caddyserver/caddy,10,Go,125,2053,4029,4170,0.9661870503597122,0,2025-03-13T22:43:56Z,2015-01-13T19:45:03Z,62222,4196,838,0
apache/echarts,11,TypeScript,118,1357,16782,18798,0.8927545483562082,0,2025-03-13T18:35:56Z,2013-04-03T03:18:59Z,62097,19693,1970,0
socketio/socket.io,15,TypeScript,75,435,3416,3588,0.9520624303232998,0,2025-03-13T23:27:45Z,2010-03-11T18:24:48Z,61753,10142,1515,0
kelseyhightower/nocode,7,Dockerfile,1,1,693,4745,0.14604847207586932,0,2025-03-13T22:40:11Z,2018-02-06T23:54:00Z,61727,4726,363,0
scikit-learn/scikit-learn,14,Python,45,12940,9843,11429,0.8612302038673549,0,2025-03-13T22:55:53Z,2010-08-17T09:43:38Z,61405,25675,2142,0
danielmiessler/SecLists,13,PHP,27,663,274,277,0.9891696750902527,0,2025-03-13T22:57:45Z,2012-02-19T01:30:18Z,61372,24200,1910,0
AppFlowy-IO/AppFlowy,3,Dart,100,3564,2444,3354,0.7286821705426356,0,2025-03-13T23:47:53Z,2021-06-16T12:56:48Z,61318,4098,365,0
immich-app/immich,3,TypeScript,236,5736,4513,4983,0.9056793096528196,0,2025-03-13T23:34:42Z,2022-02-03T15:56:27Z,61154,3214,225,0
reduxjs/redux,9,TypeScript,78,1709,2018,2054,0.9824732229795521,0,2025-03-13T20:47:16Z,2015-05-29T23:53:15Z,61102,15259,1269,0
TheAlgorithms/Java,8,Java,0,1854,1071,1077,0.9944289693593314,0,2025-03-13T22:21:18Z,2016-07-16T10:21:02Z,61070,19737,2193,0
PKUFlyingPig/cs-self-learning,3,HTML,4,271,99,194,0.5103092783505154,0,2025-03-13T20:39:48Z,2021-10-20T13:43:42Z,61026,7128,328,0
binhnguyennus/awesome-scalability,7,Unknown,0,36,0,0,0,0,2025-03-13T23:48:47Z,2017-12-27T03:46:40Z,60888,6179,1867,0
chrislgarry/Apollo-11,10,Assembly,0,341,324,381,0.8503937007874016,0,2025-03-13T20:38:26Z,2014-04-03T15:45:02Z,60861,7160,1342,0
atom/atom,13,JavaScript,538,3937,16149,17112,0.9437237026647967,0,2025-03-13T16:38:41Z,2012-01-20T18:18:21Z,60361,17364,2636,0
lodash/lodash,12,JavaScript,2,581,4225,4295,0.9837019790454016,0,2025-03-13T21:57:38Z,2012-04-07T04:11:46Z,60228,7059,824,0
bradtraversy/design-resources-for-developers,4,Unknown,0,940,100,100,1.0,0,2025-03-13T23:37:35Z,2020-05-06T14:40:35Z,60147,11670,987,0
h5bp/Front-end-Developer-Interview-Questions,13,Nunjucks,0,484,142,176,0.8068181818181818,0,2025-03-13T20:41:42Z,2012-02-09T23:34:10Z,60102,11084,2198,0
xingshaocheng/architect-awesome,6,Unknown,0,49,22,71,0.30985915492957744,0,2025-03-13T13:40:42Z,2018-04-06T13:30:58Z,60035,17804,3222,0
sindresorhus/awesome-nodejs,10,Unknown,0,414,100,102,0.9803921568627451,0,2025-03-13T23:41:00Z,2014-07-11T13:35:34Z,59914,5902,1623,0
adam-p/markdown-here,12,JavaScript,14,25,319,625,0.5104,0,2025-03-13T12:29:57Z,2012-05-13T03:27:22Z,59839,11231,1010,0
prakhar1989/awesome-courses,10,Unknown,0,194,39,79,0.4936708860759494,0,2025-03-13T23:41:05Z,2014-11-15T18:36:49Z,59424,8193,2292,0
jquery/jquery,15,JavaScript,10,789,2271,2349,0.966794380587484,0,2025-03-13T23:05:06Z,2009-04-03T15:20:14Z,59424,20580,3161,0
Alvin9999/new-pac,8,Python,0,0,1288,1712,0.7523364485981309,0,2025-03-13T23:51:36Z,2016-03-23T08:43:36Z,59355,9794,1549,0
labmlai/annotated_deep_learning_paper_implementations,4,Python,0,102,105,136,0.7720588235294118,0,2025-03-13T23:54:35Z,2020-08-25T02:29:34Z,59179,6000,473,0
localsend/localsend,2,Dart,24,656,605,1215,0.49794238683127573,0,2025-03-13T23:23:44Z,2022-12-16T00:46:07Z,58787,3159,254,0
facebook/docusaurus,7,TypeScript,149,5356,2929,3212,0.911892901618929,0,2025-03-13T21:36:11Z,2017-06-20T16:13:53Z,58777,8873,416,0
angular/angular.js,15,JavaScript,0,789,8647,9038,0.9567382164195618,0,2025-03-13T17:16:19Z,2010-01-06T00:34:37Z,58738,27432,3768,0
OpenInterpreter/open-interpreter,1,Python,48,367,792,1005,0.7880597014925373,0,2025-03-13T22:25:58Z,2023-07-14T07:10:44Z,58738,5006,427,0
shadowsocks/shadowsocks-windows,12,C#,55,290,2743,2924,0.9380984952120383,0,2025-03-13T20:38:23Z,2013-01-14T07:54:16Z,58668,16369,2441,0
nektos/act,6,Go,83,1014,1024,1215,0.842798353909465,0,2025-03-13T23:38:53Z,2019-01-02T19:53:43Z,58388,1475,168,0
localstack/localstack,8,Python,89,5778,5583,5855,0.9535439795046968,0,2025-03-13T19:17:18Z,2016-10-25T23:48:03Z,58025,4104,518,0
alacritty/alacritty,9,Rust,101,1860,5693,6013,0.9467819723931482,0,2025-03-13T23:00:24Z,2016-02-18T05:02:30Z,58020,3080,450,0
meta-llama/llama,2,Python,0,54,646,1069,0.6043030869971936,0,2025-03-13T22:52:08Z,2023-02-14T09:29:12Z,57851,9714,528,0
FuelLabs/fuel-core,4,Rust,115,1433,905,1060,0.8537735849056604,0,2025-03-13T11:52:59Z,2020-08-27T21:12:14Z,57756,2835,236,0
prometheus/prometheus,12,Go,328,7212,5420,5941,0.9123043258710655,0,2025-03-13T22:57:14Z,2012-11-24T11:14:12Z,57648,9434,1118,0
jesseduffield/lazygit,6,Go,160,1515,1382,2130,0.6488262910798122,0,2025-03-13T22:50:29Z,2018-05-19T00:53:06Z,57633,1978,291,0
lobehub/lobe-chat,1,TypeScript,1000,1904,2839,3441,0.8250508573089218,0,2025-03-13T23:52:31Z,2023-05-21T07:19:12Z,57611,12236,259,0
spring-projects/spring-framework,14,Java,327,852,26281,26548,0.9899427452162122,0,2025-03-13T21:14:58Z,2010-12-08T04:04:45Z,57537,38418,3317,0
rust-lang/rustlings,9,Rust,45,905,667,702,0.9501424501424501,0,2025-03-13T21:53:17Z,2015-09-15T02:25:18Z,56879,10471,348,0
h5bp/html5-boilerplate,15,JavaScript,34,774,1344,1350,0.9955555555555555,0,2025-03-13T18:54:03Z,2010-01-24T18:03:24Z,56827,12271,2495,0
ryanoasis/nerd-fonts,10,CSS,37,521,1025,1039,0.9865255052935515,0,2025-03-13T22:39:53Z,2014-12-05T04:31:17Z,56766,3712,395,0
rails/rails,16,Ruby,146,24779,17518,18018,0.9722499722499722,0,2025-03-13T19:45:20Z,2008-04-11T02:19:47Z,56575,21804,2325,0
nuxt/nuxt,8,TypeScript,235,6268,15132,15998,0.9458682335291911,0,2025-03-13T21:28:39Z,2016-10-26T11:18:47Z,56450,5181,792,0
gatsbyjs/gatsby,9,JavaScript,149,18147,13888,14098,0.9851042701092354,0,2025-03-13T17:59:36Z,2015-05-21T22:43:05Z,55771,10293,726,0
scutan90/DeepLearning-500-questions,6,JavaScript,0,302,81,191,0.42408376963350786,0,2025-03-13T15:57:01Z,2018-06-27T06:36:45Z,55576,15945,2245,0
zed-industries/zed,4,Rust,751,11667,8512,11247,0.7568240419667467,0,2025-03-13T23:39:30Z,2021-02-20T03:01:06Z,55460,3689,239,0
zylon-ai/private-gpt,1,Python,10,226,961,1201,0.8001665278934221,0,2025-03-13T21:05:40Z,2023-05-02T09:15:31Z,55422,7424,469,0
NationalSecurityAgency/ghidra,6,Java,42,499,3774,5208,0.7246543778801844,0,2025-03-13T23:42:06Z,2019-03-01T03:27:48Z,55303,6206,1049,0
soimort/you-get,12,Python,123,582,0,0,0,0,2025-03-13T23:39:12Z,2012-08-20T15:53:36Z,55296,9735,1368,0
azl397985856/leetcode,6,JavaScript,40,257,248,257,0.9649805447470817,0,2025-03-13T19:20:58Z,2018-03-30T09:13:51Z,55156,9478,1329,0
Solido/awesome-flutter,7,Dart,0,445,0,0,0,0,2025-03-13T23:41:11Z,2017-05-07T11:45:27Z,55078,6724,1570,0
youngyangyang04/leetcode-master,5,Shell,0,2296,64,254,0.25196850393700787,0,2025-03-13T21:39:12Z,2019-12-14T12:05:42Z,54664,11875,382,0
scrapy/scrapy,15,Python,39,2280,2663,3098,0.8595868302130407,0,2025-03-13T22:24:49Z,2010-02-22T02:01:14Z,54525,10703,1775,0
PlexPt/awesome-chatgpt-prompts-zh,2,Unknown,0,33,58,96,0.6041666666666666,0,2025-03-13T17:42:37Z,2022-12-12T01:55:03Z,54482,13576,345,0
ageitgey/face_recognition,8,Python,2,94,594,1356,0.43805309734513276,0,2025-03-13T22:55:18Z,2017-03-03T21:52:39Z,54340,13569,1567,0
remix-run/react-router,10,TypeScript,295,2773,7654,7866,0.9730485634375795,0,2025-03-13T22:54:23Z,2014-05-16T22:22:51Z,54278,10488,808,0
ElemeFE/element,8,Vue,145,3231,15250,17816,0.8559721598563089,0,2025-03-13T23:28:47Z,2016-09-03T06:19:26Z,54200,14644,1308,0
tldr-pages/tldr,11,Markdown,6,13053,1247,1422,0.8769338959212377,0,2025-03-13T21:55:22Z,2013-12-08T07:34:43Z,54163,4381,381,0
dair-ai/Prompt-Engineering-Guide,2,MDX,0,302,70,208,0.33653846153846156,0,2025-03-13T22:18:48Z,2022-12-16T16:04:50Z,54113,5281,598,0
Stirling-Tools/Stirling-PDF,2,Java,117,1582,939,1152,0.8151041666666666,0,2025-03-13T23:54:01Z,2023-01-27T18:22:42Z,54002,4469,175,0
git/git,16,C,0,3,0,0,0,0,2025-03-13T23:20:03Z,2008-07-23T14:21:26Z,53838,25987,2417,0
CorentinJ/Real-Time-Voice-Cloning,5,Python,0,48,891,1090,0.8174311926605504,0,2025-03-13T23:06:34Z,2019-05-26T08:56:15Z,53709,8905,942,0
lencx/ChatGPT,2,Rust,34,123,351,1132,0.31007067137809186,0,2025-03-13T23:35:10Z,2022-12-07T09:43:02Z,53648,6054,450,0
traefik/traefik,9,Go,461,4517,5570,6179,0.9014403625182068,0,2025-03-13T20:25:44Z,2015-09-13T19:04:02Z,53644,5258,673,0
deepfakes/faceswap,7,Python,4,357,844,875,0.9645714285714285,0,2025-03-13T23:04:27Z,2017-12-19T09:44:13Z,53454,13351,1536,0
AntonOsika/gpt-engineer,1,Python,20,351,469,491,0.955193482688391,0,2025-03-13T23:50:43Z,2023-04-29T12:52:15Z,53365,6982,519,0
ruanyf/weekly,6,Unknown,0,94,949,6001,0.15814030994834194,0,2025-03-13T21:00:38Z,2018-10-13T12:36:07Z,53174,3151,2332,0
jgraph/drawio-desktop,7,JavaScript,151,20,1470,1538,0.9557867360208062,0,2025-03-13T22:50:44Z,2017-05-25T20:58:42Z,53130,5178,540,0
nocodb/nocodb,7,TypeScript,164,4538,3290,3877,0.8485942739231365,0,2025-03-13T23:39:13Z,2017-10-29T18:51:48Z,52932,3682,376,0
ultralytics/yolov5,4,Python,10,2178,9160,9372,0.9773794280836534,0,2025-03-13T16:40:18Z,2020-05-18T03:45:11Z,52879,16764,372,0
commaai/openpilot,8,Python,55,11002,2798,2920,0.9582191780821918,0,2025-03-13T23:35:16Z,2016-11-24T01:33:30Z,52875,9533,1311,0
necolas/normalize.css,13,CSS,0,56,461,513,0.898635477582846,0,2025-03-13T21:46:21Z,2011-05-04T10:20:25Z,52830,10615,1477,0
FiloSottile/mkcert,6,Go,14,52,239,340,0.7029411764705882,0,2025-03-13T22:58:09Z,2018-06-25T05:33:03Z,52632,2763,484,0
psf/requests,14,Python,12,1567,3827,4016,0.9529382470119522,0,2025-03-13T22:55:50Z,2011-02-13T18:38:17Z,52602,9403,1325,0
geekan/MetaGPT,1,Python,22,665,744,796,0.9346733668341709,0,2025-03-13T23:50:13Z,2023-06-30T09:04:55Z,52173,6169,825,0
Z4nzu/hackingtool,4,Python,0,56,318,366,0.8688524590163934,0,2025-03-13T21:20:38Z,2020-04-11T09:21:31Z,51872,5590,1247,0
wasabeef/awesome-android-ui,10,Unknown,0,90,93,109,0.8532110091743119,0,2025-03-13T23:42:01Z,2014-12-24T01:45:03Z,51786,10225,2761,0
sharkdp/bat,6,Rust,41,1390,1156,1460,0.7917808219178082,0,2025-03-13T21:52:41Z,2018-04-21T10:52:23Z,51578,1284,206,0
ionic-team/ionic-framework,11,TypeScript,892,6078,21395,21922,0.9759602226074263,0,2025-03-13T23:30:11Z,2013-08-20T23:06:02Z,51516,13476,1593,0
gorhill/uBlock,9,JavaScript,273,247,3433,3445,0.9965166908563134,0,2025-03-13T23:46:55Z,2015-04-01T17:51:11Z,51489,3378,959,0
topjohnwu/Magisk,8,C++,143,1550,6018,6047,0.9952042335042169,0,2025-03-13T23:21:02Z,2016-09-08T12:42:53Z,51426,13385,1544,0
golang-standards/project-layout,7,Makefile,0,91,44,111,0.3963963963963964,0,2025-03-13T21:57:20Z,2017-09-09T16:33:26Z,51393,5272,596,0
langflow-ai/langflow,2,Python,250,3492,1712,2054,0.8334956183057449,0,2025-03-13T23:47:30Z,2023-02-08T22:28:03Z,51353,5650,349,0
google/material-design-icons,10,Unknown,16,48,1147,1493,0.768251841929002,0,2025-03-13T22:06:53Z,2014-10-08T18:01:28Z,51211,9637,1810,0
Textualize/rich,5,Python,168,806,1169,1373,0.8514202476329206,0,2025-03-13T23:22:45Z,2019-11-10T15:28:09Z,51208,1799,538,0
Semantic-Org/Semantic-UI,11,JavaScript,154,357,5265,6232,0.8448331193838254,0,2025-03-13T22:59:44Z,2013-04-08T23:32:04Z,51159,4931,1289,0
juliangarnier/anime,9,JavaScript,15,72,509,720,0.7069444444444445,0,2025-03-13T21:52:42Z,2016-03-13T21:37:45Z,51017,3709,754,0
BurntSushi/ripgrep,9,Rust,72,511,1544,1664,0.9278846153846154,0,2025-03-13T22:40:29Z,2016-03-11T02:02:33Z,51009,2084,294,0
pi-hole/pi-hole,10,Shell,112,2004,2921,2971,0.983170649612925,0,2025-03-13T23:05:56Z,2014-06-08T15:02:55Z,50946,2778,704,0
pmndrs/zustand,5,TypeScript,92,750,683,686,0.9956268221574344,0,2025-03-13T23:30:51Z,2019-04-09T09:10:06Z,50903,1607,168,0
minio/minio,10,Go,512,9767,7612,7640,0.9963350785340314,0,2025-03-13T23:32:38Z,2015-01-14T19:23:58Z,50772,5708,623,0
clash-verge-rev/clash-verge-rev,1,TypeScript,44,175,2377,2589,0.918115102356122,0,2025-03-13T22:57:39Z,2023-11-21T18:24:03Z,50644,3955,159,0
google/guava,10,Java,48,842,2971,3601,0.8250485976117745,0,2025-03-13T23:13:43Z,2014-05-29T16:23:17Z,50577,10964,2366,0
